"220.158.252.0","220.158.255.255","3701406720","3701407743","HK","Hong Kong"
"220.159.0.0","220.159.255.255","3701407744","3701473279","JP","Japan"
"220.160.0.0","220.207.255.255","3701473280","3704619007","CN","China"
"220.208.0.0","220.223.255.255","3704619008","3705667583","JP","Japan"
"220.224.0.0","220.227.255.255","3705667584","3705929727","IN","India"
"220.228.0.0","220.229.255.255","3705929728","3706060799","TW","Taiwan"
"220.230.0.0","220.230.255.255","3706060800","3706126335","KR","Korea, Republic of"
"220.231.0.0","220.231.63.255","3706126336","3706142719","CN","China"
"220.231.64.0","220.231.127.255","3706142720","3706159103","VN","Vietnam"
"220.231.128.0","220.231.255.255","3706159104","3706191871","CN","China"
"220.232.0.0","220.232.58.239","3706191872","3706206959","SG","Singapore"
"220.232.58.240","220.232.58.255","3706206960","3706206975","AP","Asia/Pacific Region"
"220.232.59.0","220.232.59.131","3706206976","3706207107","SG","Singapore"
"220.232.59.132","220.232.59.132","3706207108","3706207108","US","United States"
"220.232.59.133","220.232.63.255","3706207109","3706208255","SG","Singapore"
"220.232.64.0","220.232.127.255","3706208256","3706224639","CN","China"
"220.232.128.0","220.232.131.255","3706224640","3706225663","HK","Hong Kong"
"220.232.132.0","220.232.135.255","3706225664","3706226687","JP","Japan"
"220.232.136.0","220.232.155.255","3706226688","3706231807","HK","Hong Kong"
"220.232.156.0","220.232.159.255","3706231808","3706232831","JP","Japan"
"220.232.160.0","220.232.161.255","3706232832","3706233343","HK","Hong Kong"
"220.232.162.0","220.232.165.255","3706233344","3706234367","JP","Japan"
"220.232.166.0","220.232.179.255","3706234368","3706237951","HK","Hong Kong"
"220.232.180.0","220.232.183.255","3706237952","3706238975","JP","Japan"
"220.232.184.0","220.232.203.255","3706238976","3706244095","HK","Hong Kong"
"220.232.204.0","220.232.206.255","3706244096","3706244863","JP","Japan"
"220.232.207.0","220.232.210.255","3706244864","3706245887","HK","Hong Kong"
"220.232.211.0","220.232.211.255","3706245888","3706246143","JP","Japan"
"220.232.212.0","220.232.241.255","3706246144","3706253823","HK","Hong Kong"
"220.232.242.0","220.232.243.255","3706253824","3706254335","JP","Japan"
"220.232.244.0","220.232.253.255","3706254336","3706256895","HK","Hong Kong"
"220.232.254.0","220.232.254.255","3706256896","3706257151","JP","Japan"
"220.232.255.0","220.232.255.255","3706257152","3706257407","HK","Hong Kong"
"220.233.0.0","220.233.255.255","3706257408","3706322943","AU","Australia"
"220.234.0.0","220.234.255.255","3706322944","3706388479","CN","China"
"220.235.0.0","220.240.255.255","3706388480","3706781695","AU","Australia"
"220.241.0.0","220.241.255.255","3706781696","3706847231","HK","Hong Kong"
"220.242.0.0","220.243.255.255","3706847232","3706978303","CN","China"
"220.244.0.0","220.245.255.255","3706978304","3707109375","AU","Australia"
"220.246.0.0","220.246.255.255","3707109376","3707174911","HK","Hong Kong"
"220.247.0.0","220.247.127.255","3707174912","3707207679","JP","Japan"
"220.247.128.0","220.247.131.255","3707207680","3707208703","BD","Bangladesh"
"220.247.132.0","220.247.135.255","3707208704","3707209727","NZ","New Zealand"
"220.247.136.0","220.247.143.255","3707209728","3707211775","CN","China"
"220.247.144.0","220.247.159.255","3707211776","3707215871","VN","Vietnam"
"220.247.160.0","220.247.167.255","3707215872","3707217919","BD","Bangladesh"
"220.247.168.0","220.247.175.255","3707217920","3707219967","ID","Indonesia"
"220.247.176.0","220.247.183.255","3707219968","3707222015","AU","Australia"
"220.247.184.0","220.247.191.255","3707222016","3707224063","JP","Japan"
"220.247.192.0","220.247.255.255","3707224064","3707240447","LK","Sri Lanka"
"220.248.0.0","220.252.255.255","3707240448","3707568127","CN","China"
"220.253.0.0","220.253.255.255","3707568128","3707633663","AU","Australia"
"220.254.0.0","220.254.255.255","3707633664","3707699199","JP","Japan"
"220.255.0.0","220.255.255.255","3707699200","3707764735","SG","Singapore"
