"160.206.0.0","160.206.127.255","2697854976","2697887743","AU","Australia"
"160.206.128.0","160.206.128.255","2697887744","2697887999","ES","Spain"
"160.206.129.0","160.206.135.255","2697888000","2697889791","AU","Australia"
"160.206.136.0","160.206.143.255","2697889792","2697891839","US","United States"
"160.206.144.0","160.206.144.255","2697891840","2697892095","GB","United Kingdom"
"160.206.145.0","160.206.147.255","2697892096","2697892863","AU","Australia"
"160.206.148.0","160.206.153.255","2697892864","2697894399","US","United States"
"160.206.154.0","160.206.255.255","2697894400","2697920511","AU","Australia"
"160.207.0.0","160.209.255.255","2697920512","2698117119","US","United States"
"160.210.0.0","160.210.255.255","2698117120","2698182655","IS","Iceland"
"160.211.0.0","160.211.255.255","2698182656","2698248191","DE","Germany"
"160.212.0.0","160.212.255.255","2698248192","2698313727","US","United States"
"160.213.0.0","160.213.255.255","2698313728","2698379263","DE","Germany"
"160.214.0.0","160.214.255.255","2698379264","2698444799","ES","Spain"
"160.215.0.0","160.215.255.255","2698444800","2698510335","JP","Japan"
"160.216.0.0","160.218.255.255","2698510336","2698706943","CZ","Czech Republic"
"160.219.0.0","160.219.255.255","2698706944","2698772479","CH","Switzerland"
"160.220.0.0","160.220.255.255","2698772480","2698838015","IT","Italy"
"160.221.0.0","160.221.255.255","2698838016","2698903551","BE","Belgium"
"160.222.0.0","160.222.255.255","2698903552","2698969087","AU","Australia"
"160.223.0.0","160.223.255.255","2698969088","2699034623","CA","Canada"
"160.224.0.0","160.225.255.255","2699034624","2699165695","AO","Angola"
"160.226.0.0","160.226.127.255","2699165696","2699198463","NG","Nigeria"
"160.227.0.0","160.227.255.255","2699231232","2699296767","US","United States"
"160.228.0.0","160.228.255.255","2699296768","2699362303","FR","France"
"160.229.0.0","160.232.255.255","2699362304","2699624447","US","United States"
"160.233.0.0","160.233.255.255","2699624448","2699689983","JP","Japan"
"160.235.0.0","160.235.255.255","2699755520","2699821055","JP","Japan"
"160.237.0.0","160.238.63.255","2699886592","2699968511","JP","Japan"
"160.238.64.0","160.238.67.255","2699968512","2699969535","CN","China"
"160.238.68.0","160.238.79.255","2699969536","2699972607","IN","India"
"160.238.80.0","160.238.83.255","2699972608","2699973631","NZ","New Zealand"
"160.238.84.0","160.238.87.255","2699973632","2699974655","HK","Hong Kong"
"160.238.88.0","160.238.95.255","2699974656","2699976703","IN","India"
"160.238.100.0","160.238.100.255","2699977728","2699977983","JP","Japan"
"160.239.0.0","160.241.255.255","2700017664","2700214271","JP","Japan"
"160.242.0.0","160.242.127.255","2700214272","2700247039","NA","Namibia"
"160.242.128.0","160.242.191.255","2700247040","2700263423","UG","Uganda"
"160.242.192.0","160.242.255.255","2700263424","2700279807","TG","Togo"
"160.243.0.0","160.252.255.255","2700279808","2700935167","JP","Japan"
"160.253.0.0","160.254.255.255","2700935168","2701066239","US","United States"
"160.255.0.0","160.255.255.255","2701066240","2701131775","BG","Bulgaria"
